trace_id,true_label,if_score,lstm_score,xgb_score,overall_score,action
5981970e-964f-4b4e-9988-49edce79ca86,0,0.296109,1e-05,0.004932,0.060952,ALLOW
0a446608-7d4a-43ad-b3cf-2e4ce20ae48e,0,0.439166,1.5e-05,0.004932,0.089566,ALLOW
80a0f72e-e820-4bc0-bbc9-3053c2a19662,0,0.300157,1.5e-05,0.004932,0.061764,ALLOW
b2967f64-9850-4a7f-a227-e1451bd717f3,0,0.38847,1.5e-05,0.004932,0.079427,ALLOW
22fc9f35-eb31-4fb6-9c00-a62398a556b8,0,0.339321,9e-06,0.004932,0.069594,ALLOW
a0dacc59-37a1-4bcb-ad41-92b67e3353c2,0,0.438714,9e-06,0.004932,0.089473,ALLOW
5fa80369-7b53-41e9-83f0-6abe0d4a2116,0,0.476395,1.9e-05,0.004932,0.097014,ALLOW
c98bb09e-b5ef-419f-885f-34c8f454087f,0,0.300314,1.5e-05,0.004932,0.061796,ALLOW
d5f42357-7115-4ccc-9047-80765de93e8a,0,0.479808,1.9e-05,0.004932,0.097696,ALLOW
672a38bc-6dee-40f9-b421-22d1f4561e44,0,0.292971,1.5e-05,0.004932,0.060327,ALLOW
71dcdddb-9b08-4f37-9fb7-eb712300f924,0,0.44797,1e-05,0.004932,0.091325,ALLOW
d3e673fd-1a5b-464d-b14f-76278096331a,0,0.300807,1.5e-05,0.004932,0.061894,ALLOW
1eb47fe3-c04b-4566-a8bf-a66113527991,0,0.337359,1.9e-05,0.004932,0.069207,ALLOW
155cd8ab-c3c9-4b20-be5f-5f231b174f9b,0,0.32285,9e-06,0.004932,0.0663,ALLOW
e28268bb-9348-42e0-a5ab-0e173d753b1e,0,0.492847,9e-06,0.004932,0.1003,ALLOW
0ad7a127-f69f-4110-b4ca-ed41bbf73e36,0,0.370803,1.9e-05,0.004932,0.075895,ALLOW
abbee5c7-8e59-468f-b024-54c210da9c4e,0,0.367837,1.9e-05,0.004932,0.075302,ALLOW
442e99fd-30e2-4c87-bc4d-df9ff6b6d0a9,0,0.346385,1.9e-05,0.004932,0.071012,ALLOW
048bcd80-c84d-4e5a-9453-10190ad99626,0,0.432068,1.5e-05,0.004932,0.088147,ALLOW
f13e745b-b4dd-4bb7-8fd4-66e9727882d5,0,0.327825,9e-06,0.004932,0.067295,ALLOW
5178b9dc-1fb9-44a5-bab1-dee600908b05,0,0.320051,1.5e-05,0.004932,0.065743,ALLOW
50422596-cd71-4326-ab0c-ecb43b0928fd,0,0.280628,9e-06,0.004932,0.057856,ALLOW
edfe6ed3-61f5-44a3-828b-cff51bbb2012,0,0.422672,1.5e-05,0.004932,0.086267,ALLOW
